seller_id,seller_state,seller_city,orders,avg_delivery_risk_score,late_delivery_rate,total_revenue,total_freight
3be634553519fb6536a03e1358e9fdc7,SP,sao paulo,78,11.12,0.0897,5138.43,1723.57
d673a59aac7a70d8b01e6902bf090a11,SP,ibitinga,76,11.09,0.1053,4250.19,1687.54
1f50f920176fa81dab994f9023523100,SP,sao jose do rio preto,1384,11.07,0.1069,108408.18,35492.04
f62d7bb4a613ec758a03342d46b580b2,MG,vicosa,32,11.06,0.125,24665.0,2125.59
ff1fb4c404b2efe68b03350a8dc24122,SP,mogi das cruzes,45,11.05,0.1556,6772.89,926.17
ffeee66ac5d5a62fe688b9d26f83f534,SP,mirassol,14,11.05,0.1429,1839.86,419.69
1da366cade6d8276e7d8beea7af5d4bf,MG,uba,42,11.05,0.119,6387.59,1698.04
d3f39f05462b79a4562d35893a28f159,SP,mococa,31,11.04,0.129,2287.39,488.94
4371b634e0efc0e22b09b52907d9d469,SP,sao paulo,99,11.03,0.0808,7782.99,1411.0
0887a9f087bcd5d9f6642b52f897fc6c,SP,cananeia,12,11.03,0.0833,1642.0,220.35
a1474fd46fd3430168f7ec202da39408,SP,pinhais,12,11.01,0.1667,2752.5,661.02
d66c11a9572221d92fbb8c4897db5f9b,RJ,rio de janeiro,16,11.0,0.0,776.56,387.82
048c2757535328e0d7dac690ad3c0aae,SP,franca,50,10.98,0.14,9065.08,1247.33
c60b801f2d52c7f7f91de00870882a75,SP,guarulhos,38,10.97,0.2105,11418.51,690.98
7b0df942f46435babab05d49b744b2c4,SP,braganca paulista,32,10.94,0.0938,22600.63,672.15
4bf2f4ee540798a61f9636d12cd9cc80,SP,assis,29,10.93,0.0345,4995.56,505.45
b839e41795b7f3ad94cc2014a52f6796,SP,sao caetano do sul,33,10.89,0.0303,42829.0,920.93
7c1fea10b5b006671d608b1d7c446ec4,SP,boituva,12,10.87,0.0833,363.8,202.05
b94cc9f10ddc85e4ba73a6f7974e7101,RJ,macae,39,10.87,0.0769,25346.1,1022.39
392e0502231ae2f8b29994ef6398cd77,SP,cerqueira cesar,17,10.87,0.1176,1572.9,309.89
d93919c944be9cff128f6c9cb899eacb,SP,mombuca,33,10.84,0.1818,2666.7,957.31
f7ccf836d21b2fb1de37564105216cc1,SP,ibitinga,67,10.82,0.1045,2690.34,1081.45
fe701d88b67eaca109dffd464d1be9f9,RJ,marica,10,10.81,0.1,1359.0,219.02
5dceca129747e92ff8ef7a997dc4f8ca,SP,santa barbara d´oeste,321,10.8,0.0623,111488.62,13692.69
5eeb9c756d9780b96283e5a2ac6da334,SP,ribeirao preto,9,10.79,0.2222,2471.0,247.74
